url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://www.rmit.edu.vn/libraryvn/about-us,rmit-library-rules,RMIT Vietnam Library rules,all,library,library-rules,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/borrowing-and-resources/borrowing-and-returning,rmit-borrowing-returning,Borrowing and returning,all,library,borrowing-policy,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/borrowing-and-resources/library-resources,rmit-library-resources,Library resources and collections,all,library,library-resources,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/student-support/book-a-study-room,rmit-study-room-booking,Book a study room,student,library,room-booking,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/student-support/resources-for-students-with-a-disability,rmit-accessibility-resources,Resources for students with a disability,student,library,accessibility,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/student-support/study-faq,rmit-study-faq,Study FAQs,student,library,student-support,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/teacher-support/developing-course-content,rmit-course-content-support,Develop course content,faculty,library,teacher-support,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/teacher-support/organise-workshops-and-consultations-for-your-students,rmit-teacher-workshops,Workshops and consultations for students,faculty,library,teacher-support,en,not-stated,public-page
https://www.rmit.edu.vn/libraryvn/about-us/hours-and-locations,rmit-library-hours,Library hours and locations,all,library,opening-hours,en,not-stated,public-page

