doc_id,file_name,strategy,chunk_number,chunk_id,length_chars,content
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 1,hoc_bong_diem_ren_luyen::fixed_size::chunk_0,200,"
* Học bổng khuyến khích học tập

+ Định mức học bổng KKHT:

- Sẽ được quy định và thông báo vào đầu mỗi năm học khi có định mức học phí của năm học đó.

+ Tiêu chí xét

- Sinh viên trong thời hạn đào"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 2,hoc_bong_diem_ren_luyen::fixed_size::chunk_1,200," tạo chuẩn có kết quả học tập, rèn luyện đạt từ loại khá trở lên và
  không bị kỷ luật từ mức khiển trách trở lên trong kỳ xét cấp học bổng;
- Tại học kỳ xét học bổng, sinh viên được xét cấp học bổng "
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 3,hoc_bong_diem_ren_luyen::fixed_size::chunk_2,200,"phải hoàn thành ít nhất 15 tín chỉ.
  Trường hợp đặc biệt do Hiệu trưởng đơn vị đào tạo quy định dựa trên đề xuất của Hội đồng: [cụ
  thể nếu số tín chỉ ít hơn 15: chỉ xem xét với các sinh viên là năm"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 4,hoc_bong_diem_ren_luyen::fixed_size::chunk_3,200," cuối, không còn học phần nào
  để học và với sinh viên năm nhất, học kỳ đầu tiên được nhà trường đăng kí môn học (nếu có)]

+ Mức học bổng

- Với sinh viên hệ chuẩn có 3 mức học bổng: Xuất sắc, Giỏi,"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 5,hoc_bong_diem_ren_luyen::fixed_size::chunk_4,200," Khá
- Với sinh viên CLC TT23 có 2 mức học bổng: Xuất sắc, Giỏi
- Với sinh viên ĐMKTKT có 2 mức học bổng: Xuất sắc, Giỏi

+ Nguyên tắc xét

- Nguồn học bổng KKHT được trích bằng 8% nguồn thu học phí t"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 6,hoc_bong_diem_ren_luyen::fixed_size::chunk_5,200,"heo Ngành học và Khóa học;
- Xét theo ngành học, khóa học, từ cao xuống thấp, đến khi hết kinh phí thì dừng.

* Học bổng ngoài ngân sách

+ Hàng năm sẽ có khoảng trên dưới 30 loại học bổng từ các cá n"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 7,hoc_bong_diem_ren_luyen::fixed_size::chunk_6,200,"hân, tổ chức và doanh nghiệp trao cho
  các đối tượng khác nhau. Sinh viên theo dõi thông báo trên Website của nhà trường để biết và nộp hồ
  sơ.
+ Học bổng từ ĐHQGHN: [https://www.vnu.edu.vn/ttsk/?C2"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 8,hoc_bong_diem_ren_luyen::fixed_size::chunk_7,200,"649/N28168/dHQGHN-co-hon-600-suat-hoc-bong-ngoai-ngan-sach-nam-hoc-2021-2022.htm](https://www.vnu.edu.vn/ttsk/?C2649/N28168/dHQGHN-co-hon-600-suat-hoc-bong-ngoai-ngan-sach-nam-hoc-2021-2022.html)

* Đ"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 9,hoc_bong_diem_ren_luyen::fixed_size::chunk_8,200,"ánh giá điểm rèn luyện

+ Điểm rèn luyện được đánh giá bằng thang điểm 100 cho từng học kỳ, bằng tổng điểm đạt được của 5 nội
  dung; đối với mỗi nội dung có thể được cộng (thưởng) điểm và trừ (phạt) "
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 10,hoc_bong_diem_ren_luyen::fixed_size::chunk_9,200,"điểm, nhưng tổng số điểm mỗi
  nội dung đánh giá không vượt quá điểm tối đa của nội
  dung đánh giá tương ứng, tối thiểu là 0 điểm; không cho điểm lẻ.
+ Có mức điểm chuẩn chung về từng nội dung cho si"
hoc_bong_diem_ren_luyen,hoc_bong_diem_ren_luyen.md,fixed_size,Chunk 11,hoc_bong_diem_ren_luyen::fixed_size::chunk_10,200,"nh viên không vi phạm nội quy, quy chế và quy định
  của Bộ GD&ĐT, ĐHQGHN, Trường Đại học Công nghệ và nơi cư trú (thường trú, tạm trú). Tổng của 5 mức
  điểm chuẩn này là 70 điểm. Sau đó sẽ cộng (thư"
